field_no,question_no,question,choice1,choice2,choice3,choice4,choice5,choice6,answer_no
1,1,日本の首都はどこですか,東京,大阪,福岡,名古屋,札幌,京都,1
1,2,1年は何か月ですか,10,11,12,13,14,15,3
1,3,信号の赤は基本的に何を表しますか,進め,注意,止まれ,ゆっくり,右折可,左折可,3
2,1,水が凍る温度は何℃ですか,0,10,50,100,-10,5,1
2,2,太陽がのぼる方角はどれですか,西,南,北,東,北東,南西,4
2,3,日本の通貨単位はどれですか,ドル,ユーロ,円,ウォン,元,バーツ,3
3,1,長方形の向かい合う辺の長さはどうですか,全部ちがう,1本だけ同じ,向かい合う辺が同じ,全部0,必ず三角形になる,円になる,3
3,2,パソコンで文字を入力する装置はどれですか,キーボード,マウスパッド,プリンタ,スキャナ,モデム,プロジェクタ,1
3,3,インターネット上で個人情報を守るために大切なものはどれですか,パスワード,壁紙,音量,画面の明るさ,机,いす,1
4,1,春夏秋冬の順で3番目の季節はどれですか,春,夏,秋,冬,梅雨,年末,3
4,2,三角形の内角の和は何度ですか,90,120,180,270,360,540,3
4,3,日本の国旗の丸の色は何色ですか,青,赤,黄,緑,黒,白,2
